breed,age,lactation_stage,feed_quality,water_intake_liters,temperature_c,activity_level,appetite,milk_yield,health_status
HF,4,early,high,75,28,high,good,18,healthy
HF,5,mid,medium,70,30,medium,good,15,healthy
HF,6,late,low,55,36,low,poor,8,at_risk
Jersey,3,early,high,65,27,high,good,14,healthy
Jersey,5,mid,medium,60,31,medium,good,11,healthy
Jersey,7,late,low,50,37,low,poor,6,at_risk
Gir,4,early,medium,62,29,medium,good,12,healthy
Gir,6,mid,medium,58,33,medium,average,10,healthy
Gir,8,late,low,45,38,low,poor,5,at_risk
Sahiwal,5,early,high,68,28,high,good,16,healthy
Sahiwal,6,mid,medium,63,32,medium,good,13,healthy
Sahiwal,9,late,low,48,39,low,poor,5,at_risk
HF,4,early,high,74,29,high,good,19,healthy
HF,7,late,low,52,38,low,poor,7,at_risk
Jersey,4,mid,medium,61,30,medium,average,10,healthy
Gir,5,early,high,66,27,high,good,13,healthy
Sahiwal,7,mid,medium,57,34,medium,average,11,healthy
HF,8,late,low,49,40,low,poor,6,at_risk
Jersey,6,late,low,47,39,low,poor,5,at_risk
Gir,7,mid,medium,56,32,medium,good,9,healthy
